No;COUNTRY;Province;Date;Confirmed;Recovered;Deaths
1;INDONESIA;INDONESIA;02/03/2020;2;0;0
2;INDONESIA;INDONESIA;03/03/2020;2;0;0
3;INDONESIA;INDONESIA;04/03/2020;2;0;0
4;INDONESIA;INDONESIA;05/03/2020;2;0;0
5;INDONESIA;INDONESIA;06/03/2020;4;0;0
6;INDONESIA;INDONESIA;07/03/2020;4;0;0
7;INDONESIA;INDONESIA;08/03/2020;6;0;0
8;INDONESIA;INDONESIA;09/03/2020;19;0;0
9;INDONESIA;INDONESIA;10/03/2020;27;2;0
10;INDONESIA;INDONESIA;11/03/2020;34;2;1
11;INDONESIA;INDONESIA;12/03/2020;34;2;1
12;INDONESIA;INDONESIA;13/03/2020;69;2;4
13;INDONESIA;INDONESIA;14/03/2020;96;8;5
14;INDONESIA;INDONESIA;15/03/2020;117;8;5
15;INDONESIA;INDONESIA;16/03/2020;134;8;5
16;INDONESIA;INDONESIA;17/03/2020;172;8;5
17;INDONESIA;INDONESIA;18/03/2020;227;11;19
18;INDONESIA;BALI;19/03/2020;1;0;1
19;INDONESIA;BANTEN;19/03/2020;27;1;1
20;INDONESIA;DI YOGYAKARTA;19/03/2020;5;0;0
21;INDONESIA;DKI JAKARTA;19/03/2020;210;13;17
22;INDONESIA;JAWA BARAT;19/03/2020;26;1;1
23;INDONESIA;JAWA TENGAH;19/03/2020;12;0;3
24;INDONESIA;JAWA TIMUR;19/03/2020;9;0;1
25;INDONESIA;KALIMANTAN BARAT;19/03/2020;2;0;0
26;INDONESIA;KALIMANTAN TIMUR;19/03/2020;3;0;0
27;INDONESIA;KEPULAUAN RIAU;19/03/2020;3;0;0
28;INDONESIA;SULAWESI UTARA;19/03/2020;1;0;0
29;INDONESIA;SUMATERA UTARA;19/03/2020;2;0;1
30;INDONESIA;SULAWESI TENGGARA;19/03/2020;3;0;0
31;INDONESIA;SULAWESI SELATAN;19/03/2020;2;0;0
32;INDONESIA;LAMPUNG;19/03/2020;1;0;0
33;INDONESIA;RIAU;19/03/2020;2;0;0
34;INDONESIA;BALI;20/03/2020;4;0;1
35;INDONESIA;BANTEN;20/03/2020;37;1;1
36;INDONESIA;DI YOGYAKARTA;20/03/2020;4;0;0
37;INDONESIA;DKI JAKARTA;20/03/2020;215;14;18
38;INDONESIA;JAWA BARAT;20/03/2020;41;1;7
39;INDONESIA;JAWA TENGAH;20/03/2020;12;0;3
40;INDONESIA;JAWA TIMUR;20/03/2020;15;1;1
41;INDONESIA;KALIMANTAN BARAT;20/03/2020;2;0;0
42;INDONESIA;KALIMANTAN TIMUR;20/03/2020;10;0;0
43;INDONESIA;KALIMANTAN TENGAH;20/03/2020;2;0;0
44;INDONESIA;KEPULAUAN RIAU;20/03/2020;4;0;0
45;INDONESIA;SULAWESI UTARA;20/03/2020;1;0;0
46;INDONESIA;SUMATERA UTARA;20/03/2020;2;0;1
47;INDONESIA;SULAWESI TENGGARA;20/03/2020;3;0;0
